DATE,DTB3
3/8/09,0.19
4/8/09,0.18
5/8/09,0.18
6/8/09,0.17
7/8/09,0.18
10/8/09,0.19
11/8/09,0.18
12/8/09,0.17
13/8/09,0.17
14/8/09,0.18
17/8/09,0.18
18/8/09,0.18
19/8/09,0.17
20/8/09,0.17
21/8/09,0.17
24/8/09,0.17
25/8/09,0.17
26/8/09,0.15
27/8/09,0.15
28/8/09,0.15
31/8/09,0.15
1/9/09,0.14
2/9/09,0.14
3/9/09,0.15
4/9/09,0.14
7/9/09,.
8/9/09,0.14
9/9/09,0.14
10/9/09,0.14
11/9/09,0.14
14/9/09,0.14
15/9/09,0.13
16/9/09,0.1
17/9/09,0.1
18/9/09,0.08
21/9/09,0.11
22/9/09,0.11
23/9/09,0.11
24/9/09,0.1
25/9/09,0.1
28/9/09,0.11
29/9/09,0.13
30/9/09,0.14
1/10/09,0.1
2/10/09,0.1
5/10/09,0.08
6/10/09,0.08
7/10/09,0.09
8/10/09,0.06
9/10/09,0.07
12/10/09,.
13/10/09,0.07
14/10/09,0.07
15/10/09,0.07
16/10/09,0.07
19/10/09,0.08
20/10/09,0.08
21/10/09,0.07
22/10/09,0.06
23/10/09,0.07
26/10/09,0.08
27/10/09,0.08
28/10/09,0.07
29/10/09,0.06
30/10/09,0.05
2/11/09,0.06
3/11/09,0.06
4/11/09,0.05
5/11/09,0.04
6/11/09,0.06
9/11/09,0.07
10/11/09,0.07
11/11/09,.
12/11/09,0.07
13/11/09,0.06
16/11/09,0.07
17/11/09,0.06
18/11/09,0.04
19/11/09,0.02
20/11/09,0.02
23/11/09,0.05
24/11/09,0.05
25/11/09,0.05
26/11/09,.
27/11/09,0.03
30/11/09,0.06
1/12/09,0.06
2/12/09,0.05
3/12/09,0.06
4/12/09,0.06
7/12/09,0.04
8/12/09,0.03
9/12/09,0.03
10/12/09,0.02
11/12/09,0.03
14/12/09,0.04
15/12/09,0.05
16/12/09,0.04
17/12/09,0.04
18/12/09,0.05
21/12/09,0.08
22/12/09,0.08
23/12/09,0.07
24/12/09,0.05
25/12/09,.
28/12/09,0.11
29/12/09,0.1
30/12/09,0.05
31/12/09,0.06
1/1/10,.
4/1/10,0.08
5/1/10,0.07
6/1/10,0.06
7/1/10,0.05
8/1/10,0.05
11/1/10,0.04
12/1/10,0.05
13/1/10,0.06
